project,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_lm
xerces,Public Abstract Method,org.w3c.dom.ranges.Range.cloneRange,0.0,10.0,0.0,2.0,2.0,0.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0,0,False
xerces,Public Method,org.apache.xerces.impl.xs.XSModelImpl.getAttributeGroup,4.0,14.0,0.0,7.0,3.0,4.0,7.0,3.0,2.0,0.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2,2,2,1,False
xerces,Public Method,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.ValidationContextImpl.addIdRef,2.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
xerces,Public Static Method,dom.traversal.TreeWalkerView.main,3.0,19.0,1.0,17.0,3.0,12.0,1.0,5.0,3.0,0.0,7.0,11.0,4.0,7.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.06,3,3,3,1,False
xerces,Public Abstract Method,org.apache.xerces.xni.XMLDTDHandler.attributeDecl,2.0,30.0,0.0,5.0,5.0,0.0,25.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,False
xerces,Public Method,org.apache.xerces.impl.xs.dom.DocumentImpl.createTextNode,2.0,14.0,0.0,8.0,2.0,5.0,6.0,4.0,2.0,0.0,4.0,6.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.75,2,2,2,1,False
xerces,Public Static Method,org.apache.xerces.impl.xs.XMLSchemaLoader.resolveDocument,8.0,28.0,2.0,21.0,8.0,16.0,5.0,12.0,9.0,1.0,11.0,16.0,7.0,9.0,6.0,6.0,8.0,1.0,0.0,0.0,2.0,0.0,0.24,6,6,8,1,False
xerces,Public Method,dom.traversal.NameNodeFilter.setMatch,3.0,11.0,0.0,3.0,1.0,1.0,8.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.67,1,1,1,1,False
xerces,Method,simpletype.SimpleTypeUsage.printFinal,7.0,21.0,3.0,18.0,1.0,11.0,0.0,1.0,32.0,2.0,6.0,12.0,1.0,11.0,6.0,6.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,6,6,6,1,False
xerces,Private Static Method,org.apache.xerces.util.URI.isUserinfoCharacter,4.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.67,1,1,2,1,False
xerces,Method,dom.traversal.TreeWalkerView.handleButton,4.0,19.0,4.0,14.0,4.0,11.0,1.0,8.0,3.0,0.0,9.0,12.0,3.0,9.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,0.07,3,3,3,3,False
xerces,Public Abstract Method,org.apache.xerces.dom3.as.ASModel.createASElementDeclaration,0.0,19.0,0.0,3.0,3.0,0.0,16.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,0,0,0,0,False
xerces,Public Method,org.apache.wml.dom.WMLSetvarElementImpl.getValue,0.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
xerces,Public Method,org.apache.xerces.impl.validation.ValidationState.isIdDeclared,2.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
xerces,Method,org.apache.xerces.dom.RangeImpl.receiveDeletedText,10.0,27.0,1.0,22.0,1.0,16.0,4.0,3.0,18.0,1.0,6.0,15.0,1.0,14.0,9.0,9.0,11.0,3.0,4.0,2.0,2.0,2.0,0.18,9,9,11,3,False
xerces,Private Static Method,dom.Writer.printUsage,7.0,33.0,4.0,28.0,1.0,26.0,2.0,2.0,1.0,0.0,26.0,27.0,1.0,26.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.07,6,6,6,1,False
xerces,Public Method,org.apache.xerces.util.AugmentationsImpl.LargeContainer.isFull,0.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
xerces,Protected Constructor,org.apache.xerces.impl.xs.identity.IdentityConstraint.IdentityConstraint,5.0,6.0,0.0,5.0,1.0,3.0,2.0,4.0,1.0,0.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,1,1,1,1,False
xerces,Public Method,org.apache.xerces.impl.xs.XMLSchemaValidator.ignorableWhitespace,3.0,22.0,2.0,6.0,1.0,3.0,15.0,2.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.5,2,2,2,1,False
xerces,Public Abstract Method,org.apache.wml.WMLInputElement.setSize,0.0,5.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0,0,False
xerces,Method,dom.traversal.TreeWalkerView.expandTree,1.0,6.0,0.0,5.0,1.0,2.0,1.0,2.0,2.0,0.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.2,2,2,2,1,False
xerces,Public Abstract Method,org.apache.xerces.dom3.as.DOMASBuilder.parseASURI,1.0,24.0,0.0,2.0,2.0,0.0,22.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0,0,0,0,False
xerces,Public Method,org.apache.xerces.impl.xs.opti.DefaultDocument.getDocumentElement,0.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
xerces,Public Abstract Method,org.w3c.dom.Element.setIdAttributeNode,0.0,12.0,0.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0,0,0,0,False
xerces,Public Method,org.apache.xml.serialize.OutputFormat.getDoctypePublic,2.0,8.0,0.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,False
xerces,Public Method,org.apache.html.dom.HTMLTableElementImpl.createTHead,0.0,11.0,1.0,10.0,2.0,6.0,0.0,5.0,2.0,0.0,6.0,8.0,2.0,6.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2,2,2,1,False
xerces,Static Method,org.apache.xerces.impl.xpath.regex.RangeToken.complementRanges,8.0,34.0,0.0,30.0,6.0,25.0,4.0,6.0,64.0,2.0,21.0,28.0,7.0,21.0,7.0,7.0,8.0,1.0,0.0,0.0,1.0,0.0,0.13,7,7,8,1,False
xerces,Public Constructor,org.apache.html.dom.HTMLFrameElementImpl.HTMLFrameElementImpl,2.0,9.0,0.0,4.0,1.0,1.0,5.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.25,1,1,1,1,False
xerces,Public Method,org.apache.xerces.impl.XMLEntityManager.Entity.clear,3.0,5.0,0.0,4.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1,1,1,1,False
xerces,Public Method,org.xml.sax.helpers.DefaultHandler.fatalError,1.0,22.0,0.0,5.0,2.0,1.0,17.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.4,1,1,1,1,False
xerces,Private Static Method,org.apache.xerces.impl.xs.XSConstraints.checkNSSubset,7.0,19.0,4.0,13.0,3.0,6.0,2.0,4.0,8.0,1.0,3.0,7.0,1.0,6.0,4.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.15,4,4,4,1,False
xerces,Public Method,org.apache.html.dom.HTMLTableColElementImpl.getCh,0.0,10.0,1.0,8.0,2.0,4.0,1.0,4.0,2.0,0.0,4.0,6.0,2.0,4.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.13,2,2,3,1,False
xerces,Public Method,org.apache.html.dom.HTMLInputElementImpl.setDefaultValue,1.0,5.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,1,1,1,1,False
xerces,Public Abstract Method,org.w3c.dom.ls.DOMWriter.setNewLine,0.0,27.0,0.0,1.0,1.0,0.0,26.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0,0,0,0,False
xerces,Public Abstract Method,org.apache.xerces.impl.xs.psvi.XSElementDeclaration.isDisallowedSubstitution,0.0,11.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,0,0,0,False
xerces,Public Abstract Method,org.w3c.dom.html.HTMLQuoteElement.setCite,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False
xerces,Public Method,org.apache.xerces.dom.ElementImpl.getAttributeNS,4.0,28.0,4.0,10.0,2.0,6.0,15.0,5.0,4.0,1.0,4.0,7.0,2.0,5.0,4.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,1.5,4,4,4,1,False
xerces,Method,org.apache.xerces.impl.xpath.regex.RegexParser.processParen,4.0,8.0,0.0,8.0,3.0,6.0,1.0,7.0,2.0,0.0,6.0,8.0,3.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.13,2,2,2,1,False
xerces,Public Method,org.apache.html.dom.HTMLAnchorElementImpl.getShape,0.0,4.0,0.0,4.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
xerces,Method,org.apache.xerces.impl.xs.traversers.XSDHandler.reportSchemaError,19.0,10.0,0.0,10.0,1.0,6.0,0.0,3.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2,2,2,1,False
xerces,Public Method,xni.PassThroughFilter.endGeneralEntity,3.0,15.0,0.0,5.0,1.0,2.0,11.0,1.0,2.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.2,2,2,2,1,False
xerces,Public Abstract Method,org.xml.sax.XMLReader.setFeature,9.0,29.0,0.0,2.0,2.0,0.0,27.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0,0,0,0,False
xerces,Protected Method,org.apache.xerces.parsers.AbstractSAXParser.getDeclHandler,2.0,9.0,0.0,4.0,2.0,1.0,6.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1,1,1,1,False
xerces,Public Method,org.apache.xerces.impl.xs.XMLSchemaValidator.OrderedHashtable.valueAt,6.0,4.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.67,1,1,1,1,False
